time,seconds_elapsed,z,y,x
1617781899266160400,0.082160400390625,0.11492156982421875,0.11315065622329712,-0.01970234513282776
1617781899271165400,0.08716552734375,0.09577083587646484,0.10232794284820557,0.013289518654346466
1617781899276170200,0.092170166015625,0.1005716323852539,0.0753774493932724,0.09938827157020569
1617781899281205800,0.097205810546875,0.06286239624023438,0.09531933069229126,0.09094484150409698
1617781899286210600,0.10221044921875,0.030338287353515625,0.13359469175338745,0.053025983273983
1617781899291245800,0.107245849609375,0.05961894989013672,0.15260428190231323,0.03479509800672531
1617781899296281300,0.11228125,0.0367889404296875,0.15173488855361938,0.012025207281112671
1617781899301286100,0.1172861328125,0.07323646545410156,0.1281195878982544,-0.0020727068185806274
1617781899306321700,0.12232177734375,0.08527755737304688,0.02100592851638794,-0.043785206973552704
1617781899311357000,0.12735693359375,0.07028770446777344,0.015056215226650238,0.04388526827096939
1617781899316362000,0.132362060546875,0.06560230255126953,0.009736388921737671,0.007541574537754059
1617781899321397200,0.137397216796875,0.0211029052734375,-0.0021156594157218933,-0.055667661130428314
1617781899326402300,0.14240234375,0.022116661071777344,-0.004187427461147308,-0.056834034621715546
1617781899331437600,0.1474375,-0.017560958862304688,-0.0017063841223716736,-0.02883215993642807
1617781899336442400,0.1524423828125,-0.0030183792114257812,-0.0015822350978851318,-0.011482194066047668
1617781899341478000,0.157477783203125,0.03351593017578125,-0.0015919804573059082,-0.0290684774518013
1617781899346513400,0.162513427734375,0.01824474334716797,0.021221116185188293,-0.025431334972381592
1617781899351518200,0.167518310546875,-0.014583587646484375,0.05219253897666931,0.007595494389533997
1617781899356553500,0.172553466796875,0.041016578674316406,0.06136687844991684,0.0026533007621765137
1617781899361589000,0.177589111328125,0.016364097595214844,0.049638159573078156,0.027752965688705444
1617781899366624300,0.182624267578125,-0.002674102783203125,0.06372224539518356,0.010554604232311249
1617781899371629300,0.18762939453125,0.0043239593505859375,0.0590282678604126,0.01485135406255722
1617781899376634000,0.192634033203125,0.02031230926513672,0.040819667279720306,0.04892173409461975
1617781899381669600,0.197669677734375,0.04036235809326172,0.0417073592543602,-0.017467819154262543
1617781899386705000,0.202704833984375,0.01354217529296875,0.031077250838279724,-0.012193553149700165
1617781899391740400,0.207740478515625,0.029287338256835938,0.002379186451435089,-0.023344755172729492
1617781899396745200,0.2127451171875,-0.001781463623046875,0.030168674886226654,-0.03644072264432907
1617781899401750000,0.21775,0.012197494506835938,-0.007891759276390076,-0.014383658766746521
1617781899406785500,0.22278564453125,0.018796920776367188,-0.0030725449323654175,-0.018598370254039764
1617781899411820800,0.22782080078125,0.011269569396972656,0.02016357332468033,-0.029845915734767914
1617781899416856300,0.232856201171875,0.0272216796875,0.021798036992549896,-0.0034129098057746887
1617781899421891600,0.2378916015625,0.01947784423828125,0.00955875962972641,-0.005651131272315979
1617781899426866200,0.2428662109375,0.01430511474609375,0.01402294635772705,-0.01953893154859543
1617781899431871000,0.24787109375,0.009263038635253906,0.02285294234752655,0.013561375439167023
1617781899436906200,0.25290625,0.032352447509765625,0.03156398981809616,0.03653685748577118
1617781899441941800,0.257941650390625,0.001194000244140625,0.030809685587882996,0.049643464386463165
1617781899446977000,0.26297705078125,0.036208152770996094,0.016059964895248413,0.02738187462091446
1617781899451982000,0.267982177734375,0.021315574645996094,0.03211924433708191,0.022022239863872528
1617781899457017300,0.273017333984375,0.0021152496337890625,0.03601084649562836,-0.015955284237861633
1617781899462052900,0.278052978515625,0.009090423583984375,0.018840111792087555,-0.03191893547773361
1617781899467057700,0.2830576171875,-0.03558635711669922,0.006862863898277283,-0.003109581768512726
1617781899472093200,0.28809326171875,-0.004376411437988281,-0.02844015508890152,-0.01711910218000412
1617781899477098000,0.293097900390625,-0.004283905029296875,-0.027901843190193176,-0.023742325603961945
1617781899482133500,0.298133544921875,0.00988006591796875,-0.008493423461914062,-0.01850944012403488
1617781899487138300,0.30313818359375,0.01670551300048828,0.005883857607841492,-0.006479859352111816
1617781899492143000,0.30814306640625,-0.025857925415039062,-0.005987547338008881,-0.020467005670070648
1617781899497178600,0.3131787109375,0.007513999938964844,0.015175923705101013,0.0034278184175491333
1617781899502183400,0.318183349609375,-0.011412620544433594,0.0005663782358169556,0.000982433557510376
1617781899507188200,0.323188232421875,-0.004160881042480469,0.0051383525133132935,-0.006154410541057587
1617781899512254200,0.328254150390625,0.0029687881469726562,0.021445930004119873,0.012827634811401367
1617781899517289700,0.333289794921875,0.014673233032226562,0.0069432854652404785,0.022178761661052704
1617781899522294500,0.33829443359375,0.021454811096191406,0.03024028241634369,0.021752215921878815
1617781899527299300,0.34329931640625,-0.0000896453857421875,0.010831080377101898,0.007271327078342438
1617781899532334800,0.3483349609375,-0.007151603698730469,-0.008257754147052765,-0.035154908895492554
1617781899537370000,0.3533701171875,0.011809349060058594,0.003642059862613678,-0.03694479912519455
1617781899542405600,0.358405517578125,0.016307830810546875,-0.012985952198505402,-0.03395157307386398
1617781899547441000,0.36344091796875,0.004273414611816406,0.0013350620865821838,-0.01925043761730194
1617781899552415500,0.36841552734375,-0.007580757141113281,-0.008027829229831696,-0.011848166584968567
1617781899557450800,0.37345068359375,-0.005103111267089844,-0.01722703129053116,-0.021017462015151978
1617781899562486300,0.378486328125,0.03033447265625,-0.0052483826875686646,-0.02069326490163803
1617781899567521500,0.383521484375,-0.014918327331542969,-0.00038754940032958984,-0.010970212519168854
1617781899572526600,0.388526611328125,0.008885383605957031,-0.01225636899471283,0.010410062968730927
