time,seconds_elapsed,z,y,x
1617977379333118000,0.068117919921875,0.062252044677734375,0.012427259236574173,-0.014506861567497253
1617977379338092300,0.07309228515625,0.04980278015136719,0.055575959384441376,-0.005665391683578491
1617977379343097000,0.07809716796875,0.031520843505859375,0.0700301080942154,0.015278935432434082
1617977379348102100,0.08310205078125,0.0023889541625976562,0.055686548352241516,0.021270588040351868
1617977379353137400,0.088137451171875,0.035614967346191406,0.06098121032118797,0.005994513630867004
1617977379358173000,0.0931728515625,0.027400970458984375,0.06458569318056107,0.030967310070991516
1617977379363208200,0.098208251953125,0.0031147003173828125,0.1051674410700798,0.051650144159793854
1617977379368213200,0.103213134765625,0.03765106201171875,0.1234765350818634,0.016532450914382935
1617977379373248500,0.10824853515625,0.036712646484375,0.10402095317840576,0.028481394052505493
1617977379378253300,0.11325341796875,0.025060653686523438,0.13316413760185242,0.04632970690727234
1617977379383258400,0.11825830078125,0.02104949951171875,0.12542882561683655,0.01201869547367096
1617977379388324000,0.123323974609375,0.0017614364624023438,0.12128128856420517,0.0224771648645401
1617977379393359600,0.128359619140625,0.03757476806640625,0.14927661418914795,0.036909379065036774
1617977379398364400,0.133364501953125,0.033112525939941406,0.1378861367702484,0.01213834434747696
1617977379403400000,0.13839990234375,-0.056916236877441406,0.1728668361902237,0.0715118870139122
1617977379408404700,0.14340478515625,0.0367889404296875,0.20189127326011658,0.12264246493577957
1617977379413409800,0.148409912109375,-0.06287670135498047,0.1614474505186081,-0.03007669746875763
1617977379418445000,0.153445068359375,-0.09638404846191406,0.10499025881290436,0.06547868996858597
1617977379423449900,0.158449951171875,-0.018874168395996094,-0.03974311053752899,0.05223183333873749
1617977379428485400,0.1634853515625,0.08270931243896484,-0.07056869566440582,0.002457253634929657
1617977379433490200,0.168490234375,-0.021671295166015625,-0.049897149205207825,0.041339211165905
1617977379438525700,0.173525634765625,-0.04150104522705078,-0.034783102571964264,0.07109472155570984
1617977379443561000,0.17856103515625,0.031459808349609375,-0.01559961587190628,0.07900915294885635
1617977379448596500,0.183596435546875,0.060271263122558594,-0.03159860521554947,0.006442524492740631
1617977379453601300,0.188601318359375,-0.020376205444335938,0.006246797740459442,-0.044450439512729645
1617977379458636800,0.19363671875,-0.028906822204589844,0.008254759013652802,-0.13733485341072083
1617977379463641600,0.1986416015625,-0.004795074462890625,0.03337495028972626,-0.1738264560699463
1617977379468677000,0.203677001953125,0.08108711242675781,0.09467549622058868,-0.19076965749263763
1617977379473682000,0.208681884765625,0.12031936645507812,0.08928520977497101,-0.18188579380512238
1617977379478717200,0.21371728515625,0.07720184326171875,0.0749301016330719,-0.15036669373512268
1617977379483752700,0.218752685546875,0.06332683563232422,0.04254460334777832,-0.09419896453619003
1617977379488757500,0.223757568359375,-0.017557144165039062,0.015810444951057434,-0.10483857989311218
1617977379493762600,0.228762451171875,0.024827003479003906,-0.003145277500152588,-0.10622197389602661
1617977379498767400,0.233767333984375,0.04280376434326172,-0.028647005558013916,-0.09392108023166656
1617977379503833300,0.238833251953125,0.050991058349609375,-0.05124396085739136,-0.04738876223564148
1617977379508838100,0.243838134765625,0.12900447845458984,-0.08264225721359253,-0.008723519742488861
1617977379513873400,0.248873291015625,0.020743370056152344,-0.11340130865573883,0.01579424738883972
1617977379518909000,0.253908935546875,-0.056824684143066406,-0.12030461430549622,0.0728406086564064
1617977379523944400,0.2589443359375,-0.13724136352539062,-0.15532895922660828,0.10509771853685379
1617977379528979700,0.263979736328125,-0.23227500915527344,-0.1779669225215912,0.14472335577011108
1617977379533984500,0.268984619140625,-0.08426856994628906,-0.1720779538154602,0.21022549271583557
1617977379538989600,0.273989501953125,0.09786128997802734,-0.18524834513664246,0.2468407154083252
1617977379543994400,0.278994384765625,0.15664386749267578,-0.1656455397605896,0.30831098556518555
1617977379549030000,0.28402978515625,0.12758159637451172,-0.12583282589912415,0.3145392835140228
1617977379554065200,0.289065185546875,0.03356456756591797,-0.07801445573568344,0.30121731758117676
1617977379559100700,0.2941005859375,0.01653003692626953,-0.017384275794029236,0.3079748749732971
1617977379564136000,0.299135986328125,-0.049411773681640625,0.0326090008020401,0.33604636788368225
1617977379569110300,0.3041103515625,-0.08826160430908203,0.05818858742713928,0.42932066321372986
1617977379574115300,0.309115234375,-0.08180427551269531,0.10206975042819977,0.5723813772201538
1617977379579150600,0.314150634765625,0.0043792724609375,0.07008777558803558,1.835402011871338
1617977379584155400,0.3191552734375,-0.08730030059814453,0.24791978299617767,4.7585601806640625
1617977379589221400,0.324221435546875,-0.21968746185302734,0.16420824825763702,4.207368850708008
1617977379594257000,0.3292568359375,-0.02527141571044922,-0.03286108374595642,2.9307680130004883
1617977379599292200,0.334292236328125,0.1492624282836914,-0.16074375808238983,1.973278284072876
1617977379604266500,0.3392666015625,0.2549314498901367,-0.2773471176624298,1.0995385646820068
1617977379609302000,0.344302001953125,0.31886768341064453,-0.33132612705230713,0.32475781440734863
1617977379614337300,0.349337158203125,0.21697235107421875,-0.3237309455871582,-0.3411966562271118
1617977379619342300,0.35434228515625,-0.02447032928466797,-0.14918768405914307,-1.106824278831482
1617977379624347100,0.35934716796875,-0.203125,-0.003212541341781616,-1.6656088829040527
1617977379629352000,0.36435205078125,-0.2517375946044922,-0.011966735124588013,-2.1325619220733643
1617977379634418000,0.36941796875,-0.19830322265625,0.010936126112937927,-2.582188129425049
1617977379639453400,0.374453369140625,-0.14337825775146484,0.0691281110048294,-2.9672229290008545
1617977379644488700,0.37948876953125,-0.06574344635009766,0.08899180591106415,-3.0998806953430176
